Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
7839.7,8587.1,8803.6,8951.3
6608.2,7382.3,7580.4,7624
5356.6,6124.4,6300.8,6329.3
4092.2,4782.6,4920.9,4826
2871.4,3450.4,3535,3393.6
1783.7,2223.5,2280.7,2153.9
894.7,1242.5,1274.9,1198.9
327.5,528,555.7,567.8
75.2,185.8,205.4,224
11.7,45.7,53,51.9
6.7,0,0,0
5.7,0,0,0
10.5,0,0,0
11.8,0,0,0
3.6,0,0,0
5.7,0,0,0
4,0,0,0
3.1,0,0,0
3.7,0,0,0
3.7,0,0,0
3,0,0,0
2.9,0,0,0
5.5,0,0,0
2.9,0,0,0
3.4,0,0,0
3.5,0,0,0
4.2,0,0,0
4,0,0,0
3.3,0,0,0
3.2,0,0,0
3.8,0,0,0
3.6,0,0,0
2.9,0,0,0
2.9,0,0,0
2.8,0,0,0
2.9,0,0,0
3,0,0,0
2.8,0,0,0
